tick,white population,black population,luminosity,global temperature
105,0,187,0.8,33.8439554288
106,0,214,0.8,34.0208619435
107,0,240,0.8,34.3892274768
108,0,248,0.8,34.8516289257
109,0,235,0.8,35.1864770201
110,0,208,0.8,35.2310332299
111,0,195,0.8,34.9788849737
112,0,187,0.8,34.699868161
113,0,186,0.8,34.4730118181
114,0,183,0.8,34.3473036628
115,0,173,0.8,34.2584634553
116,0,163,0.8,34.1009857369
117,0,149,0.8,33.9123922078
118,0,147,0.8,33.6660348902
119,0,140,0.8,33.5228402158
120,0,138,0.8,33.3821837431
121,0,143,0.8,33.2888311418
122,0,138,0.8,33.2928071455
123,0,126,0.8,33.2470718552
124,0,132,0.8,33.1005828472
125,0,132,0.8,33.0923938244
126,0,137,0.8,33.094053146
127,0,158,0.8,33.1488983972
128,0,170,0.8,33.392169477
129,0,173,0.8,33.6310544463
130,0,164,0.8,33.7817029233
131,0,155,0.8,33.7692385875
132,0,151,0.8,33.6668507195
133,0,147,0.8,33.5709327512
134,0,169,0.8,33.4685465002
135,0,189,0.8,33.6383955438
136,0,180,0.8,33.9332475019
137,0,164,0.8,33.9929024102
138,0,157,0.8,33.8684199351
139,0,154,0.8,33.7409421495
140,0,143,0.8,33.6597809858
141,0,139,0.8,33.5205838764
142,0,124,0.8,33.4043933061
143,0,127,0.8,33.178969078
144,0,146,0.8,33.088126359
145,0,157,0.8,33.2249005994
146,0,165,0.8,33.4096855352
147,0,177,0.8,33.5869479411
148,0,185,0.8,33.8004546951
149,0,185,0.8,33.9811142104
150,0,190,0.8,34.0662391168
151,0,179,0.8,34.1565307131
152,0,189,0.8,34.086389133
153,0,190,0.8,34.1485377356
154,0,193,0.8,34.1924934879
155,0,193,0.8,34.2464465741
156,0,174,0.8,34.2734253483
157,0,185,0.8,34.0858906667
158,0,185,0.8,34.1016021384
159,0,190,0.8,34.1077727919
160,0,182,0.8,34.1697579573
161,0,188,0.8,34.1277330426
162,0,188,0.8,34.1888396094
163,0,182,0.8,34.2249590914
164,0,178,0.8,34.1835879908
165,0,187,0.8,34.1184593835
166,0,185,0.8,34.1768721246
167,0,183,0.8,34.1848519156
168,0,171,0.8,34.1572938882
169,0,184,0.8,34.0133198557
170,0,183,0.8,34.0707061609
171,0,185,0.8,34.0945356171
172,0,202,0.8,34.1309211803
173,0,203,0.8,34.3223531346
174,0,194,0.8,34.4277797997
175,0,182,0.8,34.3905146007
176,0,175,0.8,34.2525805318
177,0,180,0.8,34.1134092143
178,0,193,0.8,34.1058806814
179,0,191,0.8,34.2482843556
180,0,194,0.8,34.3000828533
181,0,201,0.8,34.3465454633
182,0,201,0.8,34.4291573636
183,0,185,0.8,34.4710975418
184,0,169,0.8,34.3323146541
185,0,162,0.8,34.0944578108
186,0,164,0.8,33.8997870338
187,0,161,0.8,33.8229496273
188,0,169,0.8,33.7566769897
189,0,190,0.8,33.8037788662
190,0,188,0.8,34.0452587524
191,0,191,0.8,34.1483625403
192,0,195,0.8,34.2304725377
193,0,189,0.8,34.312415211
194,0,207,0.8,34.3021410363
195,0,207,0.8,34.4888025592
196,0,198,0.8,34.5793757805
197,0,188,0.8,34.5198242342
198,0,178,0.8,34.3764790262
199,0,182,0.8,34.2000216919
200,0,194,0.8,34.1545338213
201,0,190,0.8,34.2561946172
202,0,196,0.8,34.2670803663
203,0,186,0.8,34.3344994775
204,0,172,0.8,34.2667669602
205,0,176,0.8,34.0907158638
206,0,162,0.8,34.0381787395
207,0,173,0.8,33.8679625313
208,0,168,0.8,33.8946840082
209,0,181,0.8,33.8590664272
210,0,189,0.8,33.9698365051
211,0,185,0.8,34.1112544439
212,0,177,0.8,34.1403581261
213,0,181,0.8,34.072816845
214,0,179,0.8,34.0808989912
215,0,191,0.8,34.0859771676
216,0,187,0.8,34.2226814632
217,0,189,0.8,34.2529771534
218,0,175,0.8,34.2762532598
